connectivity_metric,label_a,label_b,subject_a,subject_b,session_a,session_b,state_a,state_b,pair_class,pair_label,same_subject,comparison_metric,comparison_kind,higher_is_more_similar,raw_score,oriented_score
mutual_information_ksg,sub-pd002_ses-1,sub-pd020_ses-1,sub-pd002,sub-pd020,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.018377800622984716,-0.018377800622984716
mutual_information_ksg,sub-pd002_ses-1,sub-pd020_ses-2,sub-pd002,sub-pd020,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.026257132466451196,-0.026257132466451196
mutual_information_ksg,sub-pd002_ses-1,sub-pd023_ses-1,sub-pd002,sub-pd023,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.02440116622598014,-0.02440116622598014
mutual_information_ksg,sub-pd002_ses-1,sub-pd023_ses-2,sub-pd002,sub-pd023,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.017233783419448395,-0.017233783419448395
mutual_information_ksg,sub-pd002_ses-1,sub-pd024_ses-1,sub-pd002,sub-pd024,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.01761840050290331,-0.01761840050290331
mutual_information_ksg,sub-pd002_ses-1,sub-pd024_ses-2,sub-pd002,sub-pd024,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02794465517259128,-0.02794465517259128
mutual_information_ksg,sub-pd002_ses-1,sub-pd028_ses-1,sub-pd002,sub-pd028,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.01688625053733974,-0.01688625053733974
mutual_information_ksg,sub-pd002_ses-1,sub-pd028_ses-2,sub-pd002,sub-pd028,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.014877272838156578,-0.014877272838156578
mutual_information_ksg,sub-pd002_ses-2,sub-pd003_ses-1,sub-pd002,sub-pd003,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.016072681396529485,-0.016072681396529485
mutual_information_ksg,sub-pd002_ses-2,sub-pd003_ses-2,sub-pd002,sub-pd003,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.01708720646495022,-0.01708720646495022
mutual_information_ksg,sub-pd002_ses-2,sub-pd004_ses-1,sub-pd002,sub-pd004,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.028710463178469755,-0.028710463178469755
mutual_information_ksg,sub-pd002_ses-2,sub-pd004_ses-2,sub-pd002,sub-pd004,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02416559456450055,-0.02416559456450055
mutual_information_ksg,sub-pd002_ses-2,sub-pd007_ses-1,sub-pd002,sub-pd007,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.0196752248185523,-0.0196752248185523
mutual_information_ksg,sub-pd002_ses-2,sub-pd007_ses-2,sub-pd002,sub-pd007,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02727360674140238,-0.02727360674140238
mutual_information_ksg,sub-pd002_ses-2,sub-pd009_ses-1,sub-pd002,sub-pd009,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02529260769104516,-0.02529260769104516
mutual_information_ksg,sub-pd002_ses-2,sub-pd009_ses-2,sub-pd002,sub-pd009,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.022937652620899623,-0.022937652620899623
mutual_information_ksg,sub-pd002_ses-2,sub-pd010_ses-1,sub-pd002,sub-pd010,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.025894289775500692,-0.025894289775500692
mutual_information_ksg,sub-pd002_ses-2,sub-pd010_ses-2,sub-pd002,sub-pd010,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.024905844376354305,-0.024905844376354305
mutual_information_ksg,sub-pd002_ses-2,sub-pd011_ses-1,sub-pd002,sub-pd011,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.029074425410326524,-0.029074425410326524
mutual_information_ksg,sub-pd002_ses-2,sub-pd011_ses-2,sub-pd002,sub-pd011,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02175552038800371,-0.02175552038800371
mutual_information_ksg,sub-pd002_ses-2,sub-pd012_ses-1,sub-pd002,sub-pd012,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02437461357090591,-0.02437461357090591
mutual_information_ksg,sub-pd002_ses-2,sub-pd012_ses-2,sub-pd002,sub-pd012,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.01630412364490632,-0.01630412364490632
mutual_information_ksg,sub-pd002_ses-2,sub-pd013_ses-1,sub-pd002,sub-pd013,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02836463882284437,-0.02836463882284437
mutual_information_ksg,sub-pd002_ses-2,sub-pd013_ses-2,sub-pd002,sub-pd013,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.020855677595652575,-0.020855677595652575
mutual_information_ksg,sub-pd002_ses-2,sub-pd014_ses-1,sub-pd002,sub-pd014,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.01993999780044016,-0.01993999780044016
mutual_information_ksg,sub-pd002_ses-2,sub-pd014_ses-2,sub-pd002,sub-pd014,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.015737041904826023,-0.015737041904826023
mutual_information_ksg,sub-pd002_ses-2,sub-pd015_ses-1,sub-pd002,sub-pd015,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02209237973161714,-0.02209237973161714
mutual_information_ksg,sub-pd002_ses-2,sub-pd015_ses-2,sub-pd002,sub-pd015,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.027014402720101294,-0.027014402720101294
mutual_information_ksg,sub-pd002_ses-2,sub-pd017_ses-2,sub-pd002,sub-pd017,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.026487607813886628,-0.026487607813886628
mutual_information_ksg,sub-pd002_ses-2,sub-pd018_ses-1,sub-pd002,sub-pd018,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02480947445719709,-0.02480947445719709
mutual_information_ksg,sub-pd002_ses-2,sub-pd018_ses-2,sub-pd002,sub-pd018,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.033501684917756444,-0.033501684917756444
mutual_information_ksg,sub-pd002_ses-2,sub-pd020_ses-1,sub-pd002,sub-pd020,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.016989995922181953,-0.016989995922181953
mutual_information_ksg,sub-pd002_ses-2,sub-pd020_ses-2,sub-pd002,sub-pd020,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.022841007997455042,-0.022841007997455042
mutual_information_ksg,sub-pd002_ses-2,sub-pd023_ses-1,sub-pd002,sub-pd023,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.025394367293206696,-0.025394367293206696
